email,location,name,role,vnu_id,username,password,gender,phone_number
22021001@vnu.edu.vn,"12 Trần Đại Nghĩa, Hai Bà Trưng, Hà Nội",Lê Minh Đức,student,22021001,22021001,student123,male,0901000001
22021002@vnu.edu.vn,"45 Xuân Thủy, Cầu Giấy, Hà Nội",Trần Thị Mai,student,22021002,22021002,student123,female,0901000002
22021003@vnu.edu.vn,"78 Nguyễn Trãi, Thanh Xuân, Hà Nội",Nguyễn Hoàng Nam,student,22021003,22021003,student123,male,0901000003
22021004@vnu.edu.vn,"23 Láng Hạ, Đống Đa, Hà Nội",Phạm Thị Lan Anh,student,22021004,22021004,student123,female,0901000004
22021005@vnu.edu.vn,"56 Giải Phóng, Hai Bà Trưng, Hà Nội",Vũ Đình Toàn,student,22021005,22021005,student123,male,0901000005
22021006@vnu.edu.vn,"Kí túc xá Mỹ Đình, ĐHQGHN",Hoàng Thị Ngọc,student,22021006,22021006,student123,female,0901000006
22021007@vnu.edu.vn,"34 Tây Sơn, Đống Đa, Hà Nội",Đỗ Quang Hưng,student,22021007,22021007,student123,male,0901000007
22021008@vnu.edu.vn,"89 Kim Mã, Ba Đình, Hà Nội",Bùi Thanh Tâm,student,22021008,22021008,student123,female,0901000008
22021009@vnu.edu.vn,"15 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",Trịnh Văn Kiên,student,22021009,22021009,student123,male,0901000009
22021010@vnu.edu.vn,"67 Nguyễn Chí Thanh, Đống Đa, Hà Nội",Lý Thị Hồng,student,22021010,22021010,student123,female,0901000010
22021011@vnu.edu.vn,"101 Trường Chinh, Thanh Xuân, Hà Nội",Ngô Bá Khá,student,22021011,22021011,student123,male,0901000011
22021012@vnu.edu.vn,"22 Phạm Văn Đồng, Bắc Từ Liêm, Hà Nội",Dương Minh Châu,student,22021012,22021012,student123,female,0901000012
22021013@vnu.edu.vn,"9 Ngõ Chợ Khâm Thiên, Đống Đa, Hà Nội",Phan Anh Tuấn,student,22021013,22021013,student123,male,0901000013
22021014@vnu.edu.vn,"44 Đội Cấn, Ba Đình, Hà Nội",Cao Thị Phương,student,22021014,22021014,student123,female,0901000014
22021015@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Tạ Quốc Bảo,student,22021015,22021015,student123,male,0901000015
22021016@vnu.edu.vn,"33 Lê Duẩn, Hoàn Kiếm, Hà Nội",Mai Thị Hà,student,22021016,22021016,student123,female,0901000016
22021017@vnu.edu.vn,"71 Thái Hà, Đống Đa, Hà Nội",Đinh Công Vinh,student,22021017,22021017,student123,male,0901000017
22021018@vnu.edu.vn,"28 Cát Linh, Đống Đa, Hà Nội",Lương Thị Yến,student,22021018,22021018,student123,female,0901000018
22021019@vnu.edu.vn,"55 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Hà Trọng Đạt,student,22021019,22021019,student123,male,0901000019
22021020@vnu.edu.vn,"8 Phố Huế, Hai Bà Trưng, Hà Nội",Võ Ngọc Linh,student,22021020,22021020,student123,female,0901000020
22021021@vnu.edu.vn,"16 Bạch Mai, Hai Bà Trưng, Hà Nội",Trương Quang Hiếu,student,22021021,22021021,student123,male,0901000021
22021022@vnu.edu.vn,"40 Nguyễn Khuyến, Đống Đa, Hà Nội",Kiều Anh Thư,student,22021022,22021022,student123,female,0901000022
22021023@vnu.edu.vn,"Kí túc xá Mỹ Đình, ĐHQGHN",Lâm Gia Bảo,student,22021023,22021023,student123,male,0901000023
22021024@vnu.edu.vn,"92 Tôn Đức Thắng, Đống Đa, Hà Nội",Đặng Thu Hương,student,22021024,22021024,student123,female,0901000024
22021025@vnu.edu.vn,"5 Ngõ 82 Chùa Láng, Đống Đa, Hà Nội",Châu Minh Quân,student,22021025,22021025,student123,male,0901000025
22021026@vnu.edu.vn,"61 Văn Miếu, Đống Đa, Hà Nội",Phùng Thị Diệu,student,22021026,22021026,student123,female,0901000026
22021027@vnu.edu.vn,"14 Chùa Bộc, Đống Đa, Hà Nội",Tô Hữu Thắng,student,22021027,22021027,student123,male,0901000027
22021028@vnu.edu.vn,"37 Nguyễn Phong Sắc, Cầu Giấy, Hà Nội",Nghiêm Thị Quỳnh,student,22021028,22021028,student123,female,0901000028
22021029@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Sơn Tùng Lâm,student,22021029,22021029,student123,male,0901000029
22021030@vnu.edu.vn,"85 Xã Đàn, Đống Đa, Hà Nội",Ôn Thị Bích,student,22021030,22021030,student123,female,0901000030
